State,fips,2011,1990,Average,AverageLUCF,LUCF 2011,Population2011
Alabama,US01,154.9440546,137.888617,160.0812915,-55.68599054,-52.37596632,4803689
Alaska,US02,45.6646395,45.49332235,49.35298603,-31.12636572,-31.13518384,723860
Arizona,US04,103.689763,70.34447375,92.68916088,4.194562803,1.841665053,6467315
Arkansas,US05,85.02718597,66.9748763,79.01790827,-33.47556412,-35.93349531,2938582
California,US06,429.1202705,420.7407294,439.0483906,-31.26068439,-26.84367301,37683933
Colorado,US08,120.6174104,82.50269448,106.7470532,-10.51415737,-9.019780541,5116302
Connecticut,US09,39.7185274,43.88507873,44.33964914,-2.327985213,-5.536899608,3586717
Delaware,US10,14.11292546,19.0420263,17.64394679,-0.587463486,-1.168005562,908137
District Of Columbia,US11,3.891631798,4.726881542,4.78488077,-0.058867176,-0.053942569,619020
Florida,US12,262.4333007,210.0333683,255.7222362,-24.95858875,-34.78323594,19082262
Georgia,US13,173.5337468,151.3341291,176.8343513,-44.45144242,-46.13028414,9812460
Hawaii,US15,22.36218287,23.21766694,22.67151138,-0.254259779,-0.284049555,1378129
Idaho,US16,28.53414635,18.91579728,24.83382999,-15.16302564,-0.72203879,1583744
Illinois,US17,270.0524447,234.2649776,266.3413308,-13.94374491,-24.19995604,12859752
Indiana,US18,246.267253,227.9774049,254.0853072,-10.18396954,-13.19691524,6516353
Iowa,US19,126.8241222,96.49124376,113.9935257,-8.768887063,-4.644356002,3064097
Kansas,US20,105.416571,96.08757611,104.9287612,-9.874473512,-12.61175831,2870386
Kentucky,US21,172.1438535,139.7323347,165.5008892,-19.89623121,-22.81908113,4366814
Louisiana,US22,237.8786229,227.9141049,237.8788522,-22.95388943,-24.33780969,4574766
Maine,US23,19.84462132,21.33736377,23.14458723,-10.30395981,-17.39254359,1328544
Maryland,US24,73.98161773,79.90579567,84.16998306,-4.51657185,-6.188855563,5839572
Massachusetts,US25,75.70804376,90.60514112,87.29787157,-5.943398277,-6.806714689,6607003
Michigan,US26,186.1520076,202.5547633,209.4792988,-28.19117657,-61.55907297,9876801
Minnesota,US27,116.6604372,101.0799997,116.5907083,-11.95636666,-49.91956142,5347299
Mississippi,US28,76.03108232,59.12201214,72.21877677,-51.63101189,-52.87880941,2977457
Missouri,US29,162.3125087,128.1229993,154.2909051,-26.79718877,-25.22857953,6008984
Montana,US30,45.03634904,37.96180505,44.05898003,-48.97442393,-43.85977241,997667
Nebraska,US31,83.08822189,55.96135635,70.2284509,-6.921503064,-10.1956818,1842234
Nevada,US32,38.91540955,33.36774188,43.75177868,-7.419272084,-6.401799921,2720028
New Hampshire,US33,16.41103769,15.73761322,17.91649436,-6.924381513,-9.376668384,1317807
New Jersey,US34,127.0931416,120.1997953,131.5194733,-6.645984071,-4.446075387,8834773
New Mexico,US35,75.87280247,62.76755279,72.17963559,-2.637885496,-1.499705905,2078674
New York,US36,195.4116726,233.8034527,228.8669169,-37.86893296,-20.64549557,19501616
North Carolina,US37,150.0917742,125.8372041,157.8148502,-13.15059009,-25.87536075,9651103
North Dakota,US38,69.23887873,49.53539079,58.95180179,-0.887614439,-1.127982008,684740
Ohio,US39,273.8615663,277.4815692,295.2479656,-22.43113392,-23.83590609,11541007
Oklahoma,US40,139.5143428,115.379625,130.6888702,-9.524727892,-9.276653995,3784163
Oregon,US41,47.48264094,39.44952281,49.26627365,-28.09571108,1.704050234,3868229
Pennsylvania,US42,281.179171,298.4807016,302.4258202,-27.30081159,-34.52013108,12743948
Rhode Island,US44,12.36011529,9.684421409,12.99413801,-0.768982402,-1.338083988,1050646
South Carolina,US45,89.05005833,68.6651122,86.51829703,-27.85882516,-36.06367333,4673348
South Dakota,US46,31.74529713,23.69432538,29.27610297,-2.354062204,-7.033928802,823593
Tennessee,US47,122.3063144,120.2374541,135.5506884,-39.32576013,-27.32393187,6399787
Texas,US48,790.9158863,691.9783848,769.5895454,-24.00465498,-18.0007152,25631778
Utah,US49,74.38934521,1990,71.13022113,-26.80987706,-25.64212988,2814347
Vermont,US50,6.929104369,6.848503174,7.600577075,-6.946507164,-7.149911575,626592
Virginia,US51,120.2429446,129.2896111,136.2875962,-22.17339938,-32.47718859,8104384
Washington,US53,84.3589007,85.39667023,92.83551131,-38.8952122,-38.38865431,6823267
West Virginia,US54,123.6827697,134.494647,133.155181,-22.29984524,-32.85609789,1854908
Wisconsin,US55,117.7413537,107.938464,120.9761265,-28.81698658,-59.23444852,5709843
Wyoming,US56,85.10663753,72.03510462,81.68058855,1.156539166,7.326838353,567356
